Date,Route,Price_USD,Origin_LSCI,Dest_LSCI,Route_Mean_LSCI,Route_Mean_air,air_South_China_Sea,air_Indian_Ocean,air_Arabian_Sea,air_Red_Sea,air_Mediterranean_Sea,air_North_Atlantic,air_North_Sea,Route_Mean_slp,slp_South_China_Sea,slp_Indian_Ocean,slp_Arabian_Sea,slp_Red_Sea,slp_Mediterranean_Sea,slp_North_Atlantic,slp_North_Sea,Route_Mean_wind_speed,wind_speed_South_China_Sea,wind_speed_Indian_Ocean,wind_speed_Arabian_Sea,wind_speed_Red_Sea,wind_speed_Mediterranean_Sea,wind_speed_North_Atlantic,wind_speed_North_Sea,cyclone_wind_South_China_Sea,cyclone_slp_South_China_Sea,cyclone_dist_South_China_Sea,cyclone_active_South_China_Sea,cyclone_wind_Indian_Ocean,cyclone_slp_Indian_Ocean,cyclone_dist_Indian_Ocean,cyclone_active_Indian_Ocean,cyclone_wind_Arabian_Sea,cyclone_slp_Arabian_Sea,cyclone_dist_Arabian_Sea,cyclone_active_Arabian_Sea,cyclone_wind_Red_Sea,cyclone_slp_Red_Sea,cyclone_dist_Red_Sea,cyclone_active_Red_Sea,cyclone_wind_Mediterranean_Sea,cyclone_slp_Mediterranean_Sea,cyclone_dist_Mediterranean_Sea,cyclone_active_Mediterranean_Sea,cyclone_wind_North_Atlantic,cyclone_slp_North_Atlantic,cyclone_dist_North_Atlantic,cyclone_active_North_Atlantic,cyclone_wind_North_Sea,cyclone_slp_North_Sea,cyclone_dist_North_Sea,cyclone_active_North_Sea,Route_Max_cyclone_wind,Route_Min_cyclone_slp,Route_Min_cyclone_dist,Route_cyclone_active,air_North_Pacific_West,air_North_Pacific_East,slp_North_Pacific_West,slp_North_Pacific_East,wind_speed_North_Pacific_West,wind_speed_North_Pacific_East,cyclone_wind_North_Pacific_West,cyclone_slp_North_Pacific_West,cyclone_dist_North_Pacific_West,cyclone_active_North_Pacific_West,cyclone_wind_North_Pacific_East,cyclone_slp_North_Pacific_East,cyclone_dist_North_Pacific_East,cyclone_active_North_Pacific_East,SWI,Coastal_Threat,Month,Week_of_Year,Is_Peak_Season,Price_Lag_7d,Price_Lag_30d,Price_Momentum_7d,Price_Momentum_30d,Price_Volatility_7d,Price_Volatility_30d,Price_Zscore_30d,Rolling_7d_Cyclone_Days,Cyclone_Wind_Lag7d,Cyclone_Wind_Lag14d,Cyclone_Wind_Lag30d,Cyclone_Active_Lag7d,Cyclone_Active_Lag14d,Cyclone_Active_Lag30d,Wind_Speed_Lag7d,Wind_Speed_Lag14d,Wind_Speed_Lag30d,Cyclone_Wind_Forecast3d,Cyclone_Wind_Forecast7d,Cyclone_Active_Forecast3d,Wind_Speed_Forecast7d,Congestion_Risk,LSCI_30d_Delta
2015-01-05,XSICFENE_FarEast_NorthEurope,2474,78.65555555555555,56.04,67.34777777777778,289.2148990998925,296.4033785625,299.2681679703948,297.26565035353536,289.07281839130434,281.9083973277311,283.70334752235294,276.8825335714285,101625.21618436225,101065.36458333331,101112.93585526316,101418.9898989899,101606.52173913045,102195.29411764706,101819.4705882353,102157.93650793652,3.050696276278248,1.8216653087504464,1.3548446226608513,4.368667053145706,1.8435962724224837,3.4145990051969366,2.7423245755296968,5.809177096241614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.001908769093138e-05,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,4.089460461451522,0.0,0.0
2015-01-06,XSICFENE_FarEast_NorthEurope,2474,78.65555555555555,56.04,67.34777777777778,289.15315124698856,296.3492205625,299.1366775921053,297.4335878484849,290.34456469565214,280.46176580672267,283.4823520964706,276.86389012698413,101451.69057569452,101129.34895833331,101161.62006578948,101487.0202020202,101495.70652173914,102068.6974789916,101311.30588235294,101508.13492063493,3.1127890452865725,2.5736248856489192,1.262407320941404,3.707575747197187,0.4557829439238592,3.800054468253892,3.8334530228443695,6.156624928196377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.068247584236553e-05,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,1.0,4.31123913575863,0.0,0.0
2015-01-07,XSICFENE_FarEast_NorthEurope,2449,78.65555555555555,56.04,67.34777777777778,288.72865514090853,295.58332167708335,298.96125323355267,297.41539274747475,289.95705395652175,279.260705092437,282.62763507294113,277.2952242063492,101559.11459847166,101380.67708333331,101192.75493421052,101461.71717171716,101736.35869565218,102684.68487394958,101353.64117647058,101103.96825396824,4.146349199384024,4.731781013640458,0.9976445958747122,2.9903126727085345,3.094377902701946,3.202658684274853,5.055617011708248,8.952052514779409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0826953008958145e-05,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,110.0,1.0,3.5384313287552507,0.0,0.0
2015-01-08,XSICFENE_FarEast_NorthEurope,2449,78.65555555555555,56.04,67.34777777777778,288.35633940781565,294.5304695625,299.1439138815789,297.00100926262627,287.68641460869566,279.2777312436975,282.6552358352941,278.19960146031747,101661.11403487354,101560.67708333331,101237.31907894736,101494.54545454546,101977.06521739133,103354.30672268909,101520.35294117648,100483.53174603176,4.380781352344093,6.201727612065124,0.9732204908476016,2.340516268529837,3.954930312207552,2.2082728180420186,4.219345356635792,10.767456608080728,0.0,0.0,0.0,0.0,0.0,1008.0,276.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,276.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309200616076498e-05,0.0,1,2,0,0.0,0.0,0.0,0.0,0.007145379761383831,0.007145379761383831,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,45.0,1.0,2.344872541888486,0.0,0.0
2015-01-09,XSICFENE_FarEast_NorthEurope,2414,78.65555555555555,56.04,67.34777777777778,288.2445540586485,293.7861967395833,299.2065784144737,296.604547030303,286.8733686521739,280.6071420840336,282.51341144235295,278.1206340476191,101660.41145800866,101577.265625,101287.95230263156,101506.08585858584,101860.3804347826,103446.1974789916,101919.9588235294,100025.03968253967,3.976421417563252,5.584945931398928,1.3038036261099464,2.8255795353321584,3.3673108857475245,2.3656005003083216,3.221772082712913,9.16593736133297,0.0,0.0,0.0,0.0,20.0,1005.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1005.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9114748410856256e-05,0.06666666666666667,1,2,0,0.0,0.0,0.0,0.0,0.0058341781446000695,0.0058341781446000695,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,45.0,1.0,2.726323512679627,0.3568879308192732,0.0
2015-01-12,XSICFENE_FarEast_NorthEurope,2417,78.65555555555555,56.04,67.34777777777778,288.4487312445186,293.554420875,299.3788599473684,296.6863585959596,286.9347753913044,283.28528867226896,282.3018167694118,276.9995984603175,101488.55053245138,101502.39583333331,101262.54934210528,101613.86363636365,102173.3695652174,102585.23109243698,102037.68235294118,99244.76190476192,4.385781495331179,4.880809519766951,2.280487713079045,4.450395320791605,3.6758709927052737,1.1883699718807557,3.4071981443998403,10.817338804694788,0.0,0.0,0.0,0.0,115.0,918.0,282.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,918.0,282.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321454461885918e-05,0.40636042402826855,1,3,0,0.0,0.0,0.0,0.0,0.007247119392107625,0.007247119392107625,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,2.9051839451843797,2.052105602210821,0.0
2015-01-13,XSICFENE_FarEast_NorthEurope,2417,78.65555555555555,56.04,67.34777777777778,288.5865179136357,293.22419261458333,299.32267321710526,296.17169349494947,288.7847574782609,282.85837766386555,282.3622102917647,277.3817206349206,101369.36563736798,101502.421875,101211.66940789472,101570.5808080808,101982.28260869563,102633.3193277311,101745.52352941176,98939.76190476192,4.231302074135822,5.033411515150013,2.10387299394368,5.366942986063191,2.257861788537911,0.6726003178206276,3.408523352166409,10.775901565268924,0.0,0.0,0.0,0.0,120.0,910.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,910.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174142796977599e-05,0.410958904109589,1,3,0,0.0,0.0,0.0,0.0,0.007083169158048143,0.007083169158048143,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,1.0,2.425930137502794,2.141327584915639,0.0
2015-01-14,XSICFENE_FarEast_NorthEurope,2417,78.65555555555555,56.04,67.34777777777778,288.6162825138292,293.4637890833333,299.2561552302632,295.7886248787879,290.0619467826087,283.2010370840336,282.27775276,276.2646717777778,101318.15830432276,101592.734375,101229.79440789472,101526.03535353536,101865.97826086955,102355.94537815126,101483.72352941176,99172.89682539682,4.089460461451522,5.413122891833581,2.3321242675563822,5.580381491443117,1.2390149244555897,1.9605973986824128,2.613378087652321,9.48760416853725,0.0,0.0,0.0,0.0,85.0,947.0,332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,947.0,332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0362562149303125e-05,0.2552552552552553,1,3,0,2474.0,0.0,-0.023039611955117376,0.0,0.006611432954522206,0.006611432954522206,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.050696276278248,0.0,0.0,45.0,0.0,1.0,3.0795950596543378,1.516773705981911,0.0
2015-01-15,XSICFENE_FarEast_NorthEurope,2425,78.65555555555555,56.04,67.34777777777778,288.9932377498028,293.6171812395833,299.5343695756579,295.8032785151515,289.82716517391304,283.7642802436975,283.1421115482353,277.2642779523809,101167.54423383751,101548.80208333331,101139.25986842104,101495.40404040404,101748.69565217392,102091.72268907564,101664.4411764706,98484.48412698413,4.31123913575863,4.627452984104372,2.6035332983984047,5.938736916840671,1.3920264932618254,2.5957812716531468,2.585425211959499,10.435717774092488,0.0,0.0,0.0,0.0,100.0,935.0,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,935.0,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2614844200933316e-05,0.26595744680851063,1,3,0,2474.0,0.0,-0.023039611955117376,0.0,0.006209127375807414,0.006209127375807414,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1127890452865725,0.0,0.0,45.0,35.0,1.0,3.763530080875314,1.784439654096366,0.0
2015-01-16,XSICFENE_FarEast_NorthEurope,2425,78.65555555555555,56.04,67.34777777777778,289.1503605706709,293.98462370833334,299.7430796480263,296.31766403030304,289.1967263695652,283.50019779831933,283.69357669411767,277.6166557460317,101189.23772970062,101542.65625,101039.50657894736,101485.5303030303,101781.79347826086,101981.49159663866,101694.71764705882,98798.96825396824,3.5384313287552507,5.185729104180974,2.530996736667257,4.780083415661264,1.994220834346652,2.4627541413803664,1.3064324018281452,6.508802667222093,0.0,0.0,0.0,0.0,110.0,930.0,683.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,930.0,683.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496845522418337e-05,0.1608187134502924,1,3,0,2449.0,0.0,-0.009799918330012284,0.0,0.006615715016538573,0.006206424958685859,-1.154700458379252,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.146349199384024,0.0,0.0,0.0,40.0,0.0,3.497180575970976,1.9628836195060027,0.0
